fortuna_angry: <:fortuna_angry:1454885720316575916>
4703playingcardheartsqueen: <:4703playingcardheartsqueen:1457404078991872082>
5305playingcarddiamondsqueen: <:5305playingcarddiamondsqueen:1457404081231364126>
5451playingcardheartsnine: <:5451playingcardheartsnine:1457404083010011259>
5715playingcardheartsfour: <:5715playingcardheartsfour:1457404085069287625>
5765playingcardheartsseven: <:5765playingcardheartsseven:1457404087111913573>
5772playingcarddiamondsthree: <:5772playingcarddiamondsthree:1457404089171181711>
7039playingcardheartsace: <:7039playingcardheartsace:1457404091322859686>
7102playingcardheartstwo: <:7102playingcardheartstwo:1457404094359666770>
7165playingcarddiamondstwo: <:7165playingcarddiamondstwo:1457404096817660025>
7193playingcardheartssix: <:7193playingcardheartssix:1457404098747039927>
7596playingcarddiamondsking: <:7596playingcarddiamondsking:1457404100990861532>
7669playingcardheartsking: <:7669playingcardheartsking:1457404103570362464>
7963playingcardheartsten: <:7963playingcardheartsten:1457404106116436161>
8796playingcardheartsfive: <:8796playingcardheartsfive:1457404108234293269>
9383playingcardheartsthree: <:9383playingcardheartsthree:1457404110214135952>
9562playingcarddiamondsjack: <:9562playingcarddiamondsjack:1457404113221320869>
9921playingcarddiamondseight: <:9921playingcarddiamondseight:1457404115117150431>
9976playingcarddiamondsnine: <:9976playingcarddiamondsnine:1457404117667282974>
1367playingcardspadesthree: <:1367playingcardspadesthree:1457404324350132385>
2529playingcardclubsnine: <:2529playingcardclubsnine:1457404326904467456>
2918playingcardclubsace: <:2918playingcardclubsace:1457404328733053061>
3606playingcardspadesace: <:3606playingcardspadesace:1457404330503045273>
3948playingcardclubsfour: <:3948playingcardclubsfour:1457404332466241711>
4160playingcardspadessix: <:4160playingcardspadessix:1457404334529843220>
4263playingcardclubsthree: <:4263playingcardclubsthree:1457404336559755570>
4328playingcardspadesqueen: <:4328playingcardspadesqueen:1457404338367500481>
5071playingcardspadesnine: <:5071playingcardspadesnine:1457404341693448302>
5162playingcardspadesfive: <:5162playingcardspadesfive:1457404343228829727>
5269playingcardclubsfive: <:5269playingcardclubsfive:1457404345124655135>
5501playingcardspadeseight: <:5501playingcardspadeseight:1457404347947422003>
6968playingcardclubsjack: <:6968playingcardclubsjack:1457404350358884386>
7160playingcardclubsten: <:7160playingcardclubsten:1457404353911590922>
7348playingcardclubssix: <:7348playingcardclubssix:1457404356168126484>
7377playingcardspadesjack: <:7377playingcardspadesjack:1457404358231724267>
7744playingcardclubsqueen: <:7744playingcardclubsqueen:1457404363730587769>
7882playingcardjoker: <:7882playingcardjoker:1457404366431719549>
8524playingcardspadestwo: <:8524playingcardspadestwo:1457404368956690633>
8842playingcardclubstwo: <:8842playingcardclubstwo:1457404371158569109>
8896playingcardspadesten: <:8896playingcardspadesten:1457404373435940935>
8965playingcardclubseight: <:8965playingcardclubseight:1457404376175083630>
9649playingcardspadesseven: <:9649playingcardspadesseven:1457404378599133344>
9806playingcardspadesfour: <:9806playingcardspadesfour:1457404380830765066>
9846playingcardspadesking: <:9846playingcardspadesking:1457404383376576655>
9858playingcardclubsseven: <:9858playingcardclubsseven:1457404386052411493>
9978playingcardclubsking: <:9978playingcardclubsking:1457404388858658936>
